Iteration,ACO_N20,GA_N20,A*_N20,ACO_N50,GA_N50,A*_N50
234,734.9,738.0,738,1706.35,1815.3,1922
235,734.9,738.0,738,1706.35,1815.3,1922
236,734.9,738.0,738,1706.35,1815.3,1922
237,734.9,738.0,738,1706.35,1815.4,1922
238,734.9,738.0,738,1706.35,1815.6,1922
239,734.9,738.0,738,1706.35,1815.6,1922
240,734.9,738.0,738,1706.35,1815.6,1922
241,734.9,738.0,738,1706.35,1815.6,1922
242,734.9,738.0,738,1706.35,1815.8,1922
243,735.4,738.0,738,1706.35,1815.8,1922
244,735.4,738.0,738,1706.35,1815.8,1922
245,735.4,738.0,738,1706.35,1815.8,1922
246,735.4,738.0,738,1706.35,1815.8,1922
247,735.4,738.0,738,1706.35,1815.8,1922
248,735.9,738.0,738,1706.35,1815.8,1922
249,735.9,738.0,738,1706.35,1815.8,1922
250,735.9,738.0,738,1706.35,1815.8,1922
251,735.9,738.0,738,1706.35,1816.7,1922
252,735.9,738.0,738,1706.35,1816.7,1922
253,735.9,738.0,738,1706.35,1818.5,1922
254,735.9,738.0,738,1706.35,1818.5,1922
255,735.9,738.0,738,1706.35,1818.5,1922
256,735.9,738.0,738,1706.35,1818.5,1922
257,735.9,738.0,738,1706.35,1818.5,1922
258,735.9,738.0,738,1706.35,1818.5,1922
259,735.9,738.0,738,1706.35,1818.5,1922
260,735.9,738.0,738,1707.7,1818.5,1922
261,735.9,738.0,738,1707.7,1818.5,1922
262,735.9,738.0,738,1708.2,1818.5,1922
263,735.9,738.0,738,1708.2,1818.5,1922
264,735.9,738.0,738,1708.2,1818.5,1922
265,735.9,738.0,738,1708.2,1818.5,1922
266,735.9,738.0,738,1708.2,1818.5,1922
267,735.9,738.0,738,1708.2,1818.5,1922
268,735.9,738.0,738,1708.2,1818.65,1922
269,735.9,738.0,738,1708.2,1818.65,1922
270,735.9,738.0,738,1708.2,1818.65,1922
271,735.9,738.0,738,1708.2,1818.65,1922
272,735.9,738.0,738,1708.2,1819.15,1922
273,735.9,738.0,738,1708.2,1819.15,1922
274,735.9,738.0,738,1708.2,1819.15,1922
275,735.9,738.0,738,1708.2,1819.15,1922
276,735.9,738.0,738,1708.2,1819.15,1922
277,735.9,738.0,738,1708.2,1819.15,1922
278,735.9,738.0,738,1708.2,1819.15,1922
279,735.9,738.0,738,1708.2,1819.15,1922
280,735.9,738.0,738,1708.2,1819.15,1922
281,735.9,738.0,738,1709.75,1819.15,1922
282,735.9,738.0,738,1709.75,1819.15,1922
283,735.9,738.0,738,1709.75,1819.15,1922
284,735.9,738.0,738,1709.75,1819.45,1922
285,735.9,738.0,738,1709.75,1819.45,1922
286,735.9,738.0,738,1709.75,1819.45,1922
287,735.9,738.0,738,1709.75,1819.45,1922
288,735.9,738.0,738,1709.75,1819.45,1922
289,735.9,738.0,738,1709.75,1819.45,1922
290,735.9,738.0,738,1709.75,1819.45,1922
291,735.9,738.0,738,1709.75,1819.45,1922
292,735.9,738.0,738,1709.75,1819.45,1922
293,735.9,738.0,738,1709.75,1819.45,1922
294,735.9,738.0,738,1709.75,1819.45,1922
295,735.9,738.0,738,1709.75,1820.1,1922
296,735.9,738.0,738,1709.75,1820.1,1922
297,735.9,738.0,738,1709.75,1820.1,1922
298,735.9,738.0,738,1709.75,1820.1,1922
299,735.9,738.0,738,1709.75,1820.1,1922
300,735.9,738.0,738,1709.75,1820.1,1922
301,735.9,738.0,738,1709.75,1820.1,1922
302,735.9,738.0,738,1709.75,1820.1,1922
303,735.9,738.0,738,1709.75,1820.1,1922
304,735.9,738.0,738,1709.75,1820.1,1922
305,735.9,738.0,738,1709.75,1820.8,1922
306,735.9,738.0,738,1709.75,1820.8,1922
307,735.9,738.0,738,1709.75,1820.8,1922
308,735.9,738.0,738,1709.75,1820.8,1922
309,736.4,738.0,738,1709.75,1820.8,1922
310,736.4,738.0,738,1709.75,1820.8,1922
311,736.4,738.0,738,1709.75,1820.8,1922
312,736.4,738.0,738,1709.75,1820.8,1922
313,736.4,738.0,738,1709.75,1820.8,1922
314,736.4,738.0,738,1709.75,1820.8,1922
